,Dealer's Price:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Engine:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Delivery:,Price + Delivery:,Est. Gas Mileage*:,Drivetrain:,Gas Mileage:,Major Options:,Cabin Size:,Battery Performance:,NHTSA Overall Safety Rating:
0,"$51,895","$51,895",Contact the dealer for pricing details,"Weatherford, TX
33 mi away",15 miles,Automatic,Race Red,Red (Pv),310 hp 2.7L V6,Gasoline,1FMDE5CP9NLB31549,221306,"$51,895",Bronco,SouthWest Ford,"3000 Fort Worth Hwy<br>Weatherford, TX 76087",,,,,,,,,
1,"$59,565","$59,565",Contact the dealer for pricing details,"Weatherford, TX
33 mi away",3 miles,Automatic,Cactus Gray,Gray (Tv),310 hp 2.7L V6,Gasoline,1FMEE5DP4NLA73093,221307,"$59,565",Bronco,SouthWest Ford,"3000 Fort Worth Hwy<br>Weatherford, TX 76087",,,,,,,,,
2,"$32,020",Not Provided,Contact the dealer for pricing details,"Cleveland, TX
209 mi away",0 miles,Automatic,CACTUS GRAY,STONE/BLACK,310 hp 2.7L V6,Gasoline,1FMEE5DP8NLB35076,F11676,"$32,219",Bronco,DeMontrond Ford,"3944 US 59 S<br>Cleveland, TX 77328",$199,"$32,219",,,,,,,
3,"$37,800","$37,800",Contact the dealer for pricing details,"Irving, TX
12 mi away",0 miles,7-Speed Manual,Blue (Area 51),"20 MPG City
21 MPG Highway
20 MPG Combined",Four-Wheel Drive,Gasoline,1FMDE5AH3NLB11244,NLB11244,"$37,800",Bronco,Westway Ford,"801 W. Airport Fwy.<br>Irving, TX 75062",,,CLOTH SANDSTONE/BLK SEATS BLACK ONYX INTERIOR,270 hp 2.3L I4,,,,,
4,"$40,470",Not Provided,Contact the dealer for pricing details,"Cleveland, TX
209 mi away",,0 miles,Blue (AREA 51),GRAY/BLACK,270 hp 2.3L I4,Gasoline,1FMDE5BH9NLB12171,F11583,"$40,669",Bronco,DeMontrond Ford,"3944 US 59 S<br>Cleveland, TX 77328",$199,"$40,669",,,,,,,
5,"$41,905","$41,905",Contact the dealer for pricing details,"Grand Prairie, TX
9 mi away",0 miles,Automatic,HOT Pepper Red MET Tint,"20 MPG City
21 MPG Highway
20 MPG Combined",Four-Wheel Drive,Gasoline,1FMDE5BH2NLA84536,NLA84536,"$41,905",Bronco,Grand Prairie Ford,"701 E. Palace Parkway<br>Grand Prairie, TX 75050",,,Dark Space Gray,270 hp 2.3L I4,,,,,
6,"$42,015",Not Provided,Contact the dealer for pricing details,"Cleveland, TX
209 mi away",,0 miles,Blue (AREA 51),GRAY/BLACK,270 hp 2.3L I4,Gasoline,1FMDE5BH9NLB13062,F11684,"$42,214",Bronco,DeMontrond Ford,"3944 US 59 S<br>Cleveland, TX 77328",$199,"$42,214",,,,,,,
7,"$44,495",Not Provided,Contact the dealer for pricing details,"Cleveland, TX
209 mi away",0 miles,Automatic,CYBER ORANGE,VINYL BLACK,310 hp 2.7L V6,Gasoline,1FMDE5CP1NLB31612,F11678,"$44,694",Bronco,DeMontrond Ford,"3944 US 59 S<br>Cleveland, TX 77328",$199,"$44,694",,,,,,,
8,"$47,745","$47,745",Contact the dealer for pricing details,"Richardson, TX
29 mi away",67 miles,Automatic,Cactus Gray,"20 MPG City
21 MPG Highway
20 MPG Combined",Four-Wheel Drive,Gasoline,1FMDE5BH7NLA91420,NLA91420,"$47,745",Bronco,North Central Ford,"1819 North Central Expressway<br>Richardson, TX 75080",,,Gray,270 hp 2.3L I4,,,,,
9,"$48,365","$38,365",Contact the dealer for pricing details,"Mc Kinney, TX
41 mi away",---,7-Speed Manual,Blue (Area 51),"20 MPG City
21 MPG Highway
20 MPG Combined",Four-Wheel Drive,Gasoline,1FMDE5AH3NLA81680,22T6461,"$48,365",Bronco,Bob Tomes Ford,"950 S Central Expy<br>Mc Kinney, TX 75070",,,Black Onyx,270 hp 2.3L I4,,,,,
