,Make:,Model:,Year:,Trim:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:
0,Ford,Bronco,2022,Outer Banks 4-Door 4WD,SUV / crossover,Hot Pepper Red Metallic Tinted Clearcoat,Roast w/Black Onyx,15 mi,1FMEE5BP1NLB31602,NLB31602,4WD,AutoNation Ford Katy,"20777 Katy Fwy<br>Katy, TX 77450"
1,Ford,Maverick,2022,,Coupe,Gray (Cactus Grey),Black Onyx/Dark Slate,0 mi,3FTTW8E99NRA83386,NW8E7149*O,"$23,170",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
2,Ford,Maverick,2022,,Coupe,Velocity Blue Metallic,Desert Brown,0 mi,3FTTW8F98NRA83751,NW8F7207*O,"$36,970",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
3,Ford,Maverick,2022,,Coupe,Alto Blue Tinted Clearcoat Metallic,Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E35NRA84790,NW8E6310*O,"$25,095",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
4,Ford,Maverick,2022,,Coupe,Gray (Cactus Grey),Black Onyx/Dark Slate,0 mi,3FTTW8E32NRA74007,NW8E2067*O,"$21,590",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
5,Ford,Maverick,2022,,Coupe,Shadow Black,Black Onyx/Dark Slate,0 mi,3FTTW8E32NRA74329,NW8E2065*O,"$22,395",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
6,Ford,Maverick,2022,,Coupe,Gray (Cactus Grey),Black Onyx/Dark Slate,0 mi,3FTTW8E99NRA83386,NW8E7149*O,"$23,170",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
7,Ford,Maverick,2022,,Coupe,Shadow Black,Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E35NRA86183,NW8E6450*O,"$23,970",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
8,Ford,Maverick,2022,,Coupe,Blue (Area 51),Black Onyx/Dark Slate,0 mi,3FTTW8E96NRA76329,NW8E6578*O,"$24,450",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
9,Ford,Maverick,2022,,Coupe,Shadow Black,Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E30NRA85250,NW8E6420*O,"$24,645",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
10,Ford,Maverick,2022,,Coupe,Alto Blue Tinted Clearcoat Metallic,Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E35NRA84790,NW8E6310*O,"$25,095",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
11,Ford,Maverick,2022,,Coupe,Hot Pepper Red Tinted Clearcoat Metallic,Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E38NRA73718,NW8E2066*O,"$25,225",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
12,Ford,Maverick,2022,,Coupe,Gray (Carbonized Grey Metallic),Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E38NRA86243,NW8E6442*O,"$25,295",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
13,Ford,Maverick,2022,,Coupe,Cyber Orange Tricoat Metallic,Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E34NRA73649,NW8E2061*O,"$25,405",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
14,Ford,Maverick,2022,,Coupe,Hot Pepper Red Tinted Clearcoat Metallic,Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E31NRA86214,NW8E6509*O,"$25,515",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
15,Ford,Maverick,2022,,Coupe,Velocity Blue Metallic,Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E38NRA85027,NW8E6407*O,"$25,600",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
16,Ford,Maverick,2022,,Coupe,Gray (Carbonized Grey Metallic),Blue (Navy Pier/Medium Slate),0 mi,3FTTW8E97NRA77960,NW8E6660*O,"$25,650",Planet Ford,"20403 I-45 North<br>Spring, TX 77388"
