,Dealer's Price:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Delivery:,Price + Delivery:,Cabin Size:
0,"$54,880","$58,280","Houston, TX
18 mi away",0 miles,8-Speed Automatic,Sting-Gray,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP64NW275797,275797,New,"$54,880",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",,,
1,"$54,880","$58,280","Houston, TX
18 mi away",0 miles,8-Speed Automatic,Sting-Gray,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP64NW275797,275797,New,"$54,880",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",,,
2,"$54,887","$56,980","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Bright White Clearcoat,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP68NW260722,NW260722,New,"$55,084",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$55,084",
3,"$54,973","$57,075","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW239486,NW239486,New,"$55,170",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$55,170",
4,"$54,981","$57,085","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW271678,NW271678,New,"$55,178",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$55,178",
5,"$55,485","$58,885","Houston, TX
18 mi away",0 miles,8-Speed Automatic,Bright White,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW275795,275795,New,"$55,485",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",,,
6,"$55,427","$57,580","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP62NW239686,NW239686,New,"$55,624",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$55,624",
7,"$55,880","$59,280","Houston, TX
18 mi away",0 miles,8-Speed Automatic,Black,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW275794,275794,New,"$55,880",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy<br>Houston, TX 77079",,,
8,"$56,724","$57,885","Lake Charles, LA
134 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW271677,NW271677,New,"$56,921",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd<br>Lake Charles, LA 70607",$196,"$56,921",
9,"$57,085","$57,085","Houston, TX
24 mi away",2 miles,Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP62NW177898,NW177898,New,"$57,085",Wrangler,Northwest Chrysler Jeep Dodge,"19616 Northwest Fwy<br>Houston, TX 77065",,,
