,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Cabin Size:,NHTSA Overall Safety Rating:
0,"$67,935",$283,"$68,218","$67,935","Lamesa, TX
279 mi away",15 miles,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR61NW152861,NW152861,New,"$68,218",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331",,
1,"$69,920",,,"$69,920","Prosper, TX
35 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR64NW108322,NW108322,New,"$69,920",Wrangler,Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",,
2,"$68,090",$448,"$68,539","$70,225","Lake Charles, LA
294 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR66NW214819,NW214819,New,"$68,539",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
3,"$68,700",,,"$68,700","Ennis, TX
43 mi away",3 miles,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW108101,R220239,New,"$68,700",Wrangler,Pegasus CDJR,"305 South Interstate Highway 45 Ennis, TX 75119",,
4,"$68,287",$448,"$68,736","$70,445","Lake Charles, LA
294 mi away",---,8-Speed Automatic,Sarge Green Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW239562,NW239562,New,"$68,736",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
5,"$68,445",$448,"$68,894","$70,620","Lake Charles, LA
294 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW245653,NW245653,New,"$68,894",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
6,"$69,952",$448,"$70,401","$72,295","Lake Charles, LA
294 mi away",---,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW233776,NW233776,New,"$70,401",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
7,"$70,475",,,"$70,475","Arlington, TX
7 mi away",---,8-Speed Automatic,Bright White Clearcoat,White (Alx9),"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR62NW270773,53076948,New,"$70,475",Wrangler,Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",,
8,"$70,870",,,"$70,870","Arlington, TX
7 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Gray (Alx9),"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR61NW274197,53076950,New,"$70,870",Wrangler,Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",,
9,"$71,182",$448,"$71,631","$73,660","Lake Charles, LA
294 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR69NW249709,NW249709,New,"$71,631",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
10,"$71,817",$448,"$72,266","$74,365","Lake Charles, LA
294 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR64NW158590,NW158590,New,"$72,266",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",,
