Make:,Model:,Year:,Mileage:,VIN:,Price:,Dealer Name:,Dealer Address:,Dealer's Price:,MSRP:,Location:,Transmission:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
,Wrangler,,15 miles,1C4JJXR61NW152861,"$68,218",Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331","$67,935","$67,935","Lamesa, TX
279 mi away",8-Speed Automatic,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,---,1C4JJXR64NW108322,"$69,920",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078","$69,920","$69,920","Prosper, TX
35 mi away",8-Speed Automatic,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,3 miles,1C4JJXR6XNW108101,"$68,700",Pegasus CDJR,"305 South Interstate Highway 45 Ennis, TX 75119","$68,700","$68,700","Ennis, TX
43 mi away",8-Speed Automatic,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,---,1C4JJXR62NW270773,"$70,475",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018","$70,475","$70,475","Arlington, TX
7 mi away",8-Speed Automatic,White (Alx9),"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,---,1C4JJXR61NW274197,"$70,870",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018","$70,870","$70,870","Arlington, TX
7 mi away",8-Speed Automatic,Gray (Alx9),"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,0 miles,1C4JJXP62NW205277,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",No Price Listed,Not Provided,"Waxahachie, TX
28 mi away",,,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,0 miles,1C4JJXP65NW227967,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",No Price Listed,Not Provided,"Waxahachie, TX
28 mi away",,,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,0 miles,1C4JJXP66NW197989,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",No Price Listed,Not Provided,"Waxahachie, TX
28 mi away",,,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,0 miles,1C4JJXP61NW227951,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",No Price Listed,Not Provided,"Waxahachie, TX
28 mi away",,,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,5 miles,1C4JJXP67NW249324,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$62,460","Lewisville, TX
21 mi away",8-Speed Automatic,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,5 miles,1C4JJXP65NW249323,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$62,460","Lewisville, TX
21 mi away",8-Speed Automatic,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,5 miles,1C4JJXP60NW231487,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$61,170","Lewisville, TX
21 mi away",8-Speed Automatic,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,5 miles,1C4JJXP69NW231486,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$61,170","Lewisville, TX
21 mi away",8-Speed Automatic,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,5 miles,1C4JJXP65NW207637,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$61,070","Lewisville, TX
21 mi away",8-Speed Automatic,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,---,1C4JJXP69NW178174,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",No Price Listed,"$62,565","Dallas, TX
18 mi away",8-Speed Automatic,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Wrangler,,---,1C4JJXP66NW124959,4WD,Huffines Chrysler Jeep Dodge Ram Plano,"4500 W Plano Pkwy Plano, TX 75093",No Price Listed,"$66,145","Plano, TX
27 mi away",8-Speed Automatic,Black,"20 MPG City
20 MPG Highway
20 MPG Combined","2.4 hr charge time, 21 mi range",375 hp 2L I4,Four-Wheel Drive,Gasoline,New,,
,Tundra,,5 miles,5TFLA5AB9NX008331,"$47,511",Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070","$47,511","$47,511","Mckinney, TX
40 mi away",Automatic,Silver (Boulder),"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,6 miles,5TFLA5BC2NX001986,"$47,892",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$47,892","$47,892","Weatherford, TX
32 mi away",Automatic,,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,1 miles,5TFLA5AB3NX111468,"$48,957",Family Toyota of Arlington,"1661 Wet N Wild Way Arlington, TX 76011","$48,957","$48,957","Arlington, TX
4 mi away",Automatic,,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,0 miles,5TFLA5AB3NX012214,"$50,073",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$50,073","$48,957","Grapevine, TX
13 mi away",Automatic,Black (BOULDER),"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,0 miles,5TFLA5AB3NX012830,"$50,073",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$50,073","$48,957","Grapevine, TX
13 mi away",Automatic,BLACK FABRIC,"18 MPG City
24 MPG Highway
20 MPG Combined",,389 hp 3.5L V6,4X2,Gasoline,New,Large Crew Cab,
,Tundra,,13 miles,5TFLA5EC0NX007782,"$50,312",Sport City Toyota,"12650 Lyndon B Johnson Fwy Dallas, TX 75228","$50,312","$50,312","Dallas, TX
29 mi away",Automatic,Gray (Boulder Fabric),"17 MPG City
23 MPG Highway
19 MPG Combined",,389 hp 3.5L V6,Four-Wheel Drive,Gasoline,New,Large Crew Cab,
