VIN Number,MSRP,Dealer's Price,Price,Make,Model,Year,Transmission,Mileage,Dealer Name,Dealer Address
1C4JJXR61NW152861,"$67,935 ","$67,935 ","$68,218 ",,Wrangler,2022,8-Speed Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331"
1C4JJXR64NW108322,"$69,920 ","$69,920 ","$69,920 ",,Wrangler,2022,8-Speed Automatic,---,Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
1C4JJXR6XNW108101,"$68,700 ","$68,700 ","$68,700 ",,Wrangler,2022,8-Speed Automatic,3 miles,Pegasus CDJR,"305 South Interstate Highway 45 Ennis, TX 75119"
1C4JJXR62NW270773,"$70,475 ","$70,475 ","$70,475 ",,Wrangler,2022,8-Speed Automatic,---,Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
1C4JJXR61NW274197,"$70,870 ","$70,870 ","$70,870 ",,Wrangler,2022,8-Speed Automatic,---,Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
5TFLA5AB9NX008331,"$47,511 ","$47,511 ","$47,511 ",,Tundra,2022,Automatic,5 miles,Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070"
5TFLA5BC2NX001986,"$47,892 ","$47,892 ","$47,892 ",,Tundra,2022,Automatic,6 miles,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087"
5TFLA5AB3NX111468,"$48,957 ","$48,957 ","$48,957 ",,Tundra,2022,Automatic,1 miles,Family Toyota of Arlington,"1661 Wet N Wild Way Arlington, TX 76011"
5TFLA5AB3NX012214,"$48,957 ","$50,073 ","$50,073 ",,Tundra,2022,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
5TFLA5AB3NX012830,"$48,957 ","$50,073 ","$50,073 ",,Tundra,2022,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
5TFLA5EC0NX007782,"$50,312 ","$50,312 ","$50,312 ",,Tundra,2022,Automatic,13 miles,Sport City Toyota,"12650 Lyndon B Johnson Fwy Dallas, TX 75228"
5TFLA5AB3NX009930,"$51,376 ","$51,376 ","$51,376 ",,Tundra,2022,Automatic,5 miles,Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070"
5TFLA5DB4NX040258,"$51,957 ","$51,957 ","$51,957 ",,Tundra,2022,Automatic,6 miles,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049"
5TFLA5DB0NX039494,"$51,957 ","$51,957 ","$51,957 ",,Tundra,2022,Automatic,6 miles,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087"
5TFLA5DB7NX039427,"$51,957 ","$51,957 ","$51,957 ",,Tundra,2022,Automatic,6 miles,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087"
5TFLA5AB5NX012196,"$51,965 ","$51,965 ","$51,965 ",,Tundra,2022,Automatic,6 miles,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049"
5TFLA5DB7NX035412,"$51,957 ","$53,073 ","$53,073 ",,Tundra,2022,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
5TFLA5DB6NX038463,"$55,731 ","$56,847 ","$56,847 ",,Tundra,2022,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
