,Dealer's Price:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,Cabin Size:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Delivery:,Price + Delivery:,Battery Performance:,NHTSA Overall Safety Rating:
0,"$50,453",Not Provided,"Boerne, TX
25 mi away",---,Automatic,Gray,Black (Blk Fabric),"17 MPG City
23 MPG Highway
19 MPG Combined",389 hp 3.5L V6,Four-Wheel Drive,Gasoline,Large Crew Cab,5TFLA5DB5NX038535,22313,New,"$50,453",Tundra,Toyota of Boerne,"31205 I-10 W<br>Boerne, TX 78006",,,,
1,"$54,796","$54,796","San Antonio, TX
8 mi away",0 miles,Automatic,Black,,"18 MPG City
24 MPG Highway
20 MPG Combined",389 hp 3.5L V6,4X2,Gasoline,Large Crew Cab,5TFJA5AB4NX010771,36515,New,"$54,796",Tundra,Alamo Toyota,"18019 US 281 North<br>San Antonio, TX 78232",,,,
2,"$55,317","$55,317","San Antonio, TX
10 mi away",10 miles,Automatic,Magnetic Gray,Gray (GRAPHITE),"17 MPG City
23 MPG Highway
19 MPG Combined",389 hp 3.5L V6,Four-Wheel Drive,Gasoline,Large Crew Cab,5TFLA5DB3NX040445,NX040445,New,"$55,317",Tundra,North Park Toyota of San Antonio,"10703 S.W. Loop 410<br>San Antonio, TX 78211",,,,
3,"$58,469","$58,469","San Antonio, TX
8 mi away",0 miles,Automatic,Blue,,"18 MPG City
24 MPG Highway
20 MPG Combined",437 hp 3.5L V6 Hybrid,4X2,Hybrid,Large Crew Cab,5TFJC5BC7NX001029,36604,New,"$58,469",Tundra,Alamo Toyota,"18019 US 281 North<br>San Antonio, TX 78232",,,,
4,"$58,640","$58,640","Laredo, TX
145 mi away",0 miles,Automatic,Silver (MIDNIGHT-BLACK METALLIC),,"18 MPG City
24 MPG Highway
20 MPG Combined",437 hp 3.5L V6 Hybrid,4X2,Hybrid,Large Crew Cab,5TFJC5AB0NX001141,T220016,New,"$58,859",Tundra,Toyota of Laredo,"6324 Bob Bullock Loop<br>Laredo, TX 78041",$219,"$58,859",,
5,"$59,949","$59,949","Laredo, TX
145 mi away",5 miles,Automatic,Gray (Lunar Rock),,"17 MPG City
23 MPG Highway
19 MPG Combined",389 hp 3.5L V6,Four-Wheel Drive,Gasoline,Large Crew Cab,5TFJA5DB5NX014601,RT133,New,"$60,168",Tundra,"Powell Watson Motors, Inc.","6301 Arena Blvd<br>Laredo, TX 78041",$219,"$60,168",,
6,"$65,187","$65,187","San Antonio, TX
8 mi away",0 miles,Automatic,Silver,,"17 MPG City
23 MPG Highway
19 MPG Combined",389 hp 3.5L V6,Four-Wheel Drive,Gasoline,Large Crew Cab,5TFNA5DB3NX039174,36607,New,"$65,187",Tundra,Alamo Toyota,"18019 US 281 North<br>San Antonio, TX 78232",,,,
7,"$70,377","$70,377","San Antonio, TX
8 mi away",0 miles,Automatic,Orange,,"17 MPG City
23 MPG Highway
19 MPG Combined",437 hp 3.5L V6 Hybrid,Four-Wheel Drive,Hybrid,Large Crew Cab,5TFPC5DB4NX004081,36603,New,"$70,377",Tundra,Alamo Toyota,"18019 US 281 North<br>San Antonio, TX 78232",,,,
8,No Price Listed,Not Provided,"San Antonio, TX
12 mi away",2 miles,Automatic,Supersonic Red,,"17 MPG City
23 MPG Highway
19 MPG Combined",437 hp 3.5L V6 Hybrid,Four-Wheel Drive,Hybrid,Large Crew Cab,5TFMC5EC2NX001223,321681,New,4WD,Tundra,Red Mccombs Toyota,"13526 Interstate 10 Frontage Road<br>San Antonio, TX 78249",,,,
9,No Price Listed,Not Provided,"San Antonio, TX
12 mi away",0 miles,Automatic,White,,"18 MPG City
24 MPG Highway
20 MPG Combined",348 hp 3.5L V6,4X2,Gasoline,Large Crew Cab,5TFKB5ABXNX012476,321675,New,RWD,Tundra,Red Mccombs Toyota,"13526 Interstate 10 Frontage Road<br>San Antonio, TX 78249",,,,
10,No Price Listed,Not Provided,"Boerne, TX
25 mi away",---,Automatic,Silver,Black (Blk Fabric),"17 MPG City
23 MPG Highway
19 MPG Combined",389 hp 3.5L V6,Four-Wheel Drive,Gasoline,Large Crew Cab,5TFLA5DBXNX035937,22263,New,4WD,Tundra,Toyota of Boerne,"31205 I-10 W<br>Boerne, TX 78006",,,,
11,No Price Listed,Not Provided,"Boerne, TX
25 mi away",---,Automatic,White,Black (Blk Fabric),"18 MPG City
24 MPG Highway
20 MPG Combined",389 hp 3.5L V6,4X2,Gasoline,Large Crew Cab,5TFLA5AB0NX011280,22241,New,RWD,Tundra,Toyota of Boerne,"31205 I-10 W<br>Boerne, TX 78006",,,,
12,No Price Listed,Not Provided,"Boerne, TX
25 mi away",---,Automatic,Silver,Black (Blk Fabric),"17 MPG City
23 MPG Highway
19 MPG Combined",389 hp 3.5L V6,Four-Wheel Drive,Gasoline,Large Crew Cab,5TFLA5DB1NX036393,22261,New,4WD,Tundra,Toyota of Boerne,"31205 I-10 W<br>Boerne, TX 78006",,,,
13,No Price Listed,Not Provided,"Boerne, TX
25 mi away",---,Automatic,Gray (Lunar),Gray (Boulder),"18 MPG City
24 MPG Highway
20 MPG Combined",389 hp 3.5L V6,4X2,Gasoline,Large Crew Cab,5TFLA5AB3NX011743,22249,New,RWD,Tundra,Toyota of Boerne,"31205 I-10 W<br>Boerne, TX 78006",,,,
14,No Price Listed,Not Provided,"Boerne, TX
25 mi away",---,Automatic,Silver,Silver (Boulder Fabric),"17 MPG City
23 MPG Highway
19 MPG Combined",389 hp 3.5L V6,Four-Wheel Drive,Gasoline,Large Crew Cab,5TFLA5DB9NX035864,22257,New,4WD,Tundra,Toyota of Boerne,"31205 I-10 W<br>Boerne, TX 78006",,,,
15,No Price Listed,Not Provided,"Boerne, TX
25 mi away",---,Automatic,White,Black (Blk Fabric),"18 MPG City
24 MPG Highway
20 MPG Combined",389 hp 3.5L V6,4X2,Gasoline,Large Crew Cab,5TFLA5AB8NX010894,22239,New,RWD,Tundra,Toyota of Boerne,"31205 I-10 W<br>Boerne, TX 78006",,,,
16,No Price Listed,Not Provided,"Boerne, TX
25 mi away",---,Automatic,Bluprint,Boulder,"18 MPG City
24 MPG Highway
20 MPG Combined",389 hp 3.5L V6,4X2,Gasoline,Large Crew Cab,5TFJA5BC8NX001983,22366,New,RWD,Tundra,Toyota of Boerne,"31205 I-10 W<br>Boerne, TX 78006",,,,
