,Make:,Model:,Year:,Trim:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:
0,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Bright White Clearcoat,Black,4 mi,1C4HJXEGXNW236822,R220355,"$56,305",Pegasus CDJR,"305 South Interstate Highway 45 Ennis, TX 75119"
1,Jeep,Wrangler,2022,Sahara Altitude 4WD,SUV / crossover,Gray,Black,4 mi,1C4HJXEN0NW208154,NW208154,"$56,575",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
2,Jeep,Wrangler,2022,Sport S 4WD,SUV / crossover,Sarge Green Clearcoat,Black,1 mi,1C4HJXDGXNW176400,NW176400,"$56,625",Clay Cooley Chrysler Dodge Jeep,"1261 E Airport Fwy Irving, TX 75062"
3,Jeep,Wrangler,2022,,SUV / crossover,Bright White Clearcoat,Black,,1C4HJXDG5NW260009,NW260009,"$56,690",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
4,Jeep,Wrangler,2022,,SUV / crossover,Hydro Blue Pearl Coat,Black,12 mi,1C4HJXDG2NW254538,NW254538,"$56,960",Clay Cooley Chrysler Dodge Jeep,"1261 E Airport Fwy Irving, TX 75062"
5,Jeep,Wrangler,2022,,SUV / crossover,Yellow (High Velocity Clearcoat),Yellow (A7x9),,1C4HJXDG3NW242186,53858038,"$57,010",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
6,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Bright White Clearcoat,Black,,1C4HJXEMXNW243064,NW243064,"$57,330",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
7,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Bright White Clearcoat,White (Clx9),,1C4HJXEM9NW254881,54787698,"$57,330",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
8,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Hydro Blue Pearl Coat,Black,,1C4HJXEN9NW264044,NW264044,"$57,550",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
9,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Black Clearcoat,Black,,1C4HJXEM5NW262735,F0783,"$57,565",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234"
10,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,White,Black,0 mi,1C4HJXFN2NW246452,53163883,"$57,725",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
11,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Black Clearcoat,Black,,1C4HJXEN8NW246523,F0733,"$58,120",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234"
12,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Black Clearcoat,Black,,1C4HJXENXNW221929,F0744,"$58,310",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234"
