,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Battery Performance:,Cabin Size:
0,"$39,615",Free,"$39,615","$42,715","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Brown (Limited Edition Gobi),Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN1NW243593,243593,New,"$39,615",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
1,"$39,665",Free,"$39,665","$42,765","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Sarge Green,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDNXNW252227,252227,New,"$39,665",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
2,"$41,609",Free,"$41,609","$42,765","Houston, TX
172 mi away",1 miles,8-Speed Automatic,Sarge Green,Brown (Heritage Tan/Black),"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN3NW252232,NW252232,New,"$41,609",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
3,"$39,885",Free,"$39,885","$42,985","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Black,Brown (Heritage Tan/Black),"18 MPG City
23 MPG Highway
20 MPG Combined",285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG1NW240629,240629,New,"$39,885",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
4,"$39,965",Free,"$39,965","$43,065","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Sarge Green,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN5NW243595,243595,New,"$39,965",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
5,"$40,060",,,"$40,060","San Antonio, TX
8 mi away",0 miles,Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,,,Four-Wheel Drive,,1C4HJXDN1NW253881,W253881,New,"$40,060",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
6,"$40,060",,,"$40,060","San Antonio, TX
8 mi away",0 miles,Automatic,Sarge Green Clearcoat,Black,,,Four-Wheel Drive,,1C4HJXDN3NW253882,W253882,New,"$40,060",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
7,"$40,160",,,"$40,160","San Antonio, TX
8 mi away",0 miles,Automatic,Brown (Limited Edition Gobi Clearcoat),Black,,,Four-Wheel Drive,,1C4HJXDN6NW243959,W243959,New,"$40,160",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
8,"$42,125",Free,"$42,125","$45,225","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Bright White,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDNXNW253569,253569,New,"$42,125",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
9,"$42,980",$399,"$43,379","$42,980","Frisco, TX
269 mi away",0 miles,Automatic,Gray,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN8NW242280,53885325,New,"$43,379",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
