Make:,Model:,Year:,Mileage:,VIN:,Price:,Dealer Name:,Dealer Address:,Dealer's Price:,MSRP:,Transmission:
,Wrangler,,15 miles,1C4JJXR61NW152861,"$68,218",Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331","$67,935","$67,935",8-Speed Automatic
,Wrangler,,---,1C4JJXR64NW108322,"$69,920",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078","$69,920","$69,920",8-Speed Automatic
,Wrangler,,3 miles,1C4JJXR6XNW108101,"$68,700",Pegasus CDJR,"305 South Interstate Highway 45 Ennis, TX 75119","$68,700","$68,700",8-Speed Automatic
,Wrangler,,---,1C4JJXR62NW270773,"$70,475",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018","$70,475","$70,475",8-Speed Automatic
,Wrangler,,---,1C4JJXR61NW274197,"$70,870",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018","$70,870","$70,870",8-Speed Automatic
,Wrangler,,0 miles,1C4JJXP62NW205277,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",No Price Listed,Not Provided,
,Wrangler,,0 miles,1C4JJXP65NW227967,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",No Price Listed,Not Provided,
,Wrangler,,0 miles,1C4JJXP66NW197989,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",No Price Listed,Not Provided,
,Wrangler,,0 miles,1C4JJXP61NW227951,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",No Price Listed,Not Provided,
,Wrangler,,5 miles,1C4JJXP67NW249324,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$62,460",8-Speed Automatic
,Wrangler,,5 miles,1C4JJXP65NW249323,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$62,460",8-Speed Automatic
,Wrangler,,5 miles,1C4JJXP60NW231487,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$61,170",8-Speed Automatic
,Wrangler,,5 miles,1C4JJXP69NW231486,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$61,170",8-Speed Automatic
,Wrangler,,5 miles,1C4JJXP65NW207637,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",No Price Listed,"$61,070",8-Speed Automatic
,Wrangler,,---,1C4JJXP69NW178174,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",No Price Listed,"$62,565",8-Speed Automatic
,Wrangler,,---,1C4JJXP66NW124959,4WD,Huffines Chrysler Jeep Dodge Ram Plano,"4500 W Plano Pkwy Plano, TX 75093",No Price Listed,"$66,145",8-Speed Automatic
,Tundra,,5 miles,5TFLA5AB9NX008331,"$47,511",Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070","$47,511","$47,511",Automatic
,Tundra,,6 miles,5TFLA5BC2NX001986,"$47,892",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$47,892","$47,892",Automatic
,Tundra,,1 miles,5TFLA5AB3NX111468,"$48,957",Family Toyota of Arlington,"1661 Wet N Wild Way Arlington, TX 76011","$48,957","$48,957",Automatic
,Tundra,,0 miles,5TFLA5AB3NX012214,"$50,073",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$50,073","$48,957",Automatic
,Tundra,,0 miles,5TFLA5AB3NX012830,"$50,073",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$50,073","$48,957",Automatic
,Tundra,,13 miles,5TFLA5EC0NX007782,"$50,312",Sport City Toyota,"12650 Lyndon B Johnson Fwy Dallas, TX 75228","$50,312","$50,312",Automatic
,Tundra,,5 miles,5TFLA5AB3NX009930,"$51,376",Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070","$51,376","$51,376",Automatic
,Tundra,,6 miles,5TFLA5DB4NX040258,"$51,957",Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049","$51,957","$51,957",Automatic
,Tundra,,6 miles,5TFLA5DB0NX039494,"$51,957",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$51,957","$51,957",Automatic
,Tundra,,6 miles,5TFLA5DB7NX039427,"$51,957",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$51,957","$51,957",Automatic
,Tundra,,6 miles,5TFLA5AB5NX012196,"$51,965",Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049","$51,965","$51,965",Automatic
,Tundra,,0 miles,5TFLA5DB7NX035412,"$53,073",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$53,073","$51,957",Automatic
,Tundra,,0 miles,5TFLA5DB6NX038463,"$56,847",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$56,847","$55,731",Automatic
,Tundra,,6 miles,5TFJA5DB2NX039049,"$57,936",Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049","$57,936","$57,936",Automatic
,Tundra,,6 miles,5TFJA5DB9NX038318,"$60,281",Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049","$60,281","$60,281",Automatic
,Tundra,,6 miles,5TFJA5DB6NX040415,"$61,248",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$61,248","$61,248",Automatic
,Tundra,,0 miles,5TFMA5AB2NX011222,"$62,845",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$62,845","$61,729",Automatic
,Tundra,,0 miles,5TFMA5EC8NX21A301,"$65,281",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$65,281","$64,165",Automatic
,Tundra,,6 miles,5TFMA5EC4NX007336,"$66,042",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$66,042","$66,042",Automatic
,Tundra,,0 miles,5TFMA5DB0NX039001,"$68,343",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$68,343","$67,227",Automatic
,Tundra,,0 miles,5TFMA5DB1NX040884,"$68,768",Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092","$68,768","$67,652",Automatic
,Tundra,,6 miles,5TFVC5DB1NX003705,"$77,922",Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087","$77,922","$77,922",Automatic
,Tundra,,5 miles,5TFVC5DB7NX003594,"$78,347",Lone Star Toyota of Lewisville,"1547 S. Stemmons Frwy. Lewisville, TX 75067","$78,347","$78,347",Automatic
,Tundra,,3 miles,5TFLA5AB1NX011210,RWD,Toyota of Richardson,"1221 N Central Expressway Richardson, TX 75080",No Price Listed,Not Provided,
,Tundra,,25 miles,5TFLA5AB3NX011693,RWD,Toyota of Richardson,"1221 N Central Expressway Richardson, TX 75080",No Price Listed,Not Provided,
,Tundra,,---,5TFLA5AA2NX011787,RWD,South Toyota,"39660 Lyndon B Johnson Fwy Dallas, TX 75237",No Price Listed,Not Provided,Automatic
,Bronco,,0 miles,1FMEE5DP8NLB35076,"$32,225",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$32,020",Not Provided,Automatic
,Bronco,,0 miles,1FMDE5BH9NLB12171,"$40,675",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$40,470",Not Provided,
,Bronco,,0 miles,1FMDE5BH9NLB13062,"$42,220",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$42,015",Not Provided,
,Bronco,,0 miles,1FMDE5CP1NLB31612,"$44,700",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$44,495",Not Provided,Automatic
,Bronco,,10 miles,1FMDE5BH2NLB33377,"$46,520",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$46,520","$46,520",
,Bronco,,10 miles,1FMDE5BH4NLA82318,"$63,162","J.O. Williams Motors, Inc.","419 E Broadway Ave. Gladewater, TX 75647","$62,955","$52,955",Automatic
,Bronco,,10 miles,1FMEE5DP6NLB31740,"$54,270",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$54,270","$54,270",
,Bronco,,10 miles,1FMEE5DP4NLB25337,"$54,920",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$54,920","$54,920",
,Bronco,,10 miles,1FMEE5DP3NLB09887,"$55,725",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$55,725","$55,725",
,Bronco,,3 miles,1FMEE5DP4NLB30943,"$56,795",DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328","$56,590",Not Provided,Automatic
,Bronco,,0 miles,1FMEE5DP0NLA73236,"$57,235",Chaparral Ford Inc.,"102 County Road 773 Devine, TX 78016","$57,235","$57,235",Automatic
,Bronco,,269 miles,1FMDE5BH2NLA83712,"$57,590",Carvana,"102 County Road 773 Devine, TX 78016","$57,590",Not Provided,Automatic
,Bronco,,10 miles,1FMEE5DP1NLB31435,"$63,245",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$63,245","$63,245",
,Bronco,,10 miles,1FMEE5DP3NLB32912,"$64,185",Griffith Ford San Marcos,"2661 N Interstate 35 San Marcos, TX 78666","$64,185","$64,185",
,Bronco,,58 miles,1FMEE5DP0NLA79277,"$68,990",Carvana,"2661 N Interstate 35 San Marcos, TX 78666","$68,990",Not Provided,Automatic
,Bronco,,0 miles,1FMDE5CP4NLB41261,4WD,Ford of Boerne,"31480 IH 10 west Boerne, TX 78006",No Price Listed,Not Provided,Automatic
,Bronco,,6 miles,1FMEE5DP6NLA84810,4WD,Ford of Boerne,"31480 IH 10 west Boerne, TX 78006",No Price Listed,"$55,500",Automatic
,Maverick,,193 miles,3FTTW8F98NRA45047,"$41,990",Carvana,"31480 IH 10 west Boerne, TX 78006","$41,990",Not Provided,8-Speed Automatic
,Maverick,,229 miles,3FTTW8F99NRA41511,"$42,990",Carvana,"31480 IH 10 west Boerne, TX 78006","$42,990",Not Provided,8-Speed Automatic
,Maverick,,58 miles,3FTTW8F98NRA53665,"$43,590",Carvana,"31480 IH 10 west Boerne, TX 78006","$43,590",Not Provided,8-Speed Automatic
,Hummer,,13 miles,1GT40FDA3NU100794,"$112,839",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$112,839","$112,839",Automatic
,Hummer,,11 miles,1GT40FDA6NU100305,"$114,590",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$114,590","$114,590",Automatic
,Hummer,,0 miles,1GT40FDAXNU100517,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,139","$115,139",1-Speed Automatic
,Hummer,,3 miles,1GT40FDA3NU100729,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,139",Not Provided,1-Speed Automatic
,Hummer,,11 miles,1GT40FDA1NU100552,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,139","$115,139",Automatic
,Hummer,,11 miles,1GT40FDA4NU100674,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074","$115,139","$115,139",Automatic
