MSRP,Dealer's Price,Price,Make,Model,Year,Transmission,Mileage,Dealer Name,Dealer Address
"$67,935","$67,935","$68,218",,Wrangler,2022.0,8-Speed Automatic,15 miles,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331"
"$69,920","$69,920","$69,920",,Wrangler,2022.0,8-Speed Automatic,---,Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078"
"$68,700","$68,700","$68,700",,Wrangler,2022.0,8-Speed Automatic,3 miles,Pegasus CDJR,"305 South Interstate Highway 45 Ennis, TX 75119"
"$70,475","$70,475","$70,475",,Wrangler,2022.0,8-Speed Automatic,---,Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
"$70,870","$70,870","$70,870",,Wrangler,2022.0,8-Speed Automatic,---,Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
Not Provided,No Price Listed,4WD,,Wrangler,2022.0,,0 miles,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167"
Not Provided,No Price Listed,4WD,,Wrangler,2022.0,,0 miles,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167"
Not Provided,No Price Listed,4WD,,Wrangler,2022.0,,0 miles,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167"
Not Provided,No Price Listed,4WD,,Wrangler,2022.0,,0 miles,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167"
"$62,460",No Price Listed,4WD,,Wrangler,2022.0,8-Speed Automatic,5 miles,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067"
"$62,460",No Price Listed,4WD,,Wrangler,2022.0,8-Speed Automatic,5 miles,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067"
"$61,170",No Price Listed,4WD,,Wrangler,2022.0,8-Speed Automatic,5 miles,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067"
"$61,170",No Price Listed,4WD,,Wrangler,2022.0,8-Speed Automatic,5 miles,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067"
"$61,070",No Price Listed,4WD,,Wrangler,2022.0,8-Speed Automatic,5 miles,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067"
"$62,565",No Price Listed,4WD,,Wrangler,2022.0,8-Speed Automatic,---,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235"
"$66,145",No Price Listed,4WD,,Wrangler,2022.0,8-Speed Automatic,---,Huffines Chrysler Jeep Dodge Ram Plano,"4500 W Plano Pkwy Plano, TX 75093"
"$47,511","$47,511","$47,511",,Tundra,2022.0,Automatic,5 miles,Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070"
"$47,892","$47,892","$47,892",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087"
"$48,957","$48,957","$48,957",,Tundra,2022.0,Automatic,1 miles,Family Toyota of Arlington,"1661 Wet N Wild Way Arlington, TX 76011"
"$48,957","$50,073","$50,073",,Tundra,2022.0,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
"$48,957","$50,073","$50,073",,Tundra,2022.0,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
"$50,312","$50,312","$50,312",,Tundra,2022.0,Automatic,13 miles,Sport City Toyota,"12650 Lyndon B Johnson Fwy Dallas, TX 75228"
"$51,376","$51,376","$51,376",,Tundra,2022.0,Automatic,5 miles,Pat Lobb Toyota of McKinney,"3350 S Central Expy Mckinney, TX 75070"
"$51,957","$51,957","$51,957",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049"
"$51,957","$51,957","$51,957",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087"
"$51,957","$51,957","$51,957",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087"
"$51,965","$51,965","$51,965",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049"
"$51,957","$53,073","$53,073",,Tundra,2022.0,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
"$55,731","$56,847","$56,847",,Tundra,2022.0,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
"$57,936","$57,936","$57,936",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049"
"$60,281","$60,281","$60,281",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Granbury,"5100 East US Hwy 377 Granbury, TX 76049"
"$61,248","$61,248","$61,248",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087"
"$61,729","$62,845","$62,845",,Tundra,2022.0,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
"$64,165","$65,281","$65,281",,Tundra,2022.0,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
"$66,042","$66,042","$66,042",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087"
"$67,227","$68,343","$68,343",,Tundra,2022.0,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
"$67,652","$68,768","$68,768",,Tundra,2022.0,Automatic,0 miles,Texas Toyota of Grapevine,"701 E State Highway 114 Grapevine, TX 76092"
"$77,922","$77,922","$77,922",,Tundra,2022.0,Automatic,6 miles,Shottenkirk Toyota Weatherford,"3131 Fort Worth Hwy Weatherford, TX 76087"
"$78,347","$78,347","$78,347",,Tundra,2022.0,Automatic,5 miles,Lone Star Toyota of Lewisville,"1547 S. Stemmons Frwy. Lewisville, TX 75067"
Not Provided,No Price Listed,RWD,,Tundra,2022.0,,3 miles,Toyota of Richardson,"1221 N Central Expressway Richardson, TX 75080"
Not Provided,No Price Listed,RWD,,Tundra,2022.0,,25 miles,Toyota of Richardson,"1221 N Central Expressway Richardson, TX 75080"
Not Provided,No Price Listed,RWD,,Tundra,2022.0,Automatic,---,South Toyota,"39660 Lyndon B Johnson Fwy Dallas, TX 75237"
Not Provided,"$32,020","$32,225",,Bronco,2022.0,Automatic,0 miles,DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328"
Not Provided,"$40,470","$40,675",,Bronco,2022.0,,0 miles,DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328"
Not Provided,"$42,015","$42,220",,Bronco,2022.0,,0 miles,DeMontrond Ford,"3944 US 59 S Cleveland, TX 77328"
