,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gasage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
0,Ford,Bronco,2022,SUV  crossover,Race Red,Red Pv,15,1FMDE5CP9NLB31549,221306,51895,SouthWest Ford,3000 Fort Worth Hwy Weatherford TX 76087,,,,,0,,,,,,,,,,,,,
1,Ford,Bronco,2022,SUV  crossover,CACTUS GRAY,STONEBLACK,0,1FMEE5DP8NLB35076,F11676,32219,DeMontrond Ford,3944 US 59 S Cleveland TX 77328,,,,,0,,,,,,,,,,,,,
2,Ford,Bronco,2022,SUV  crossover,Blue Area 51,CLOTH SANDSTONEBLK SEATS BLACK ONYX INTERIOR,0,1FMDE5AH3NLB11244,NLB11244,37800,Westway Ford,801 W. Airport Fwy. Irving TX 75062,Big Bend 2Door 4WD,,,,0,,,,,,,,,,,,,
3,Ford,Bronco,2022,SUV  crossover,Blue AREA 51,GRAYBLACK,0,1FMDE5BH9NLB12171,F11583,40669,DeMontrond Ford,3944 US 59 S Cleveland TX 77328,,,,,0,,,,,,,,,,,,,
4,Ford,Bronco,2022,SUV  crossover,HOT Pepper Red MET Tint,Dark Space Gray,0,1FMDE5BH2NLA84536,NLA84536,41905,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,Big Bend 4Door 4WD,,,,0,,,,,,,,,,,,,
5,Ford,Bronco,2022,SUV  crossover,Blue AREA 51,GRAYBLACK,0,1FMDE5BH9NLB13062,F11684,42214,DeMontrond Ford,3944 US 59 S Cleveland TX 77328,,,,,0,,,,,,,,,,,,,
6,Ford,Bronco,2022,SUV  crossover,CYBER ORANGE,VINYL BLACK,0,1FMDE5CP1NLB31612,F11678,44694,DeMontrond Ford,3944 US 59 S Cleveland TX 77328,,,,,0,,,,,,,,,,,,,
7,Ford,Bronco,2022,SUV  crossover,Cactus Gray,Gray,67,1FMDE5BH7NLA91420,NLA91420,47745,North Central Ford,1819 North Central Expressway Richardson TX 75080,Outer Banks 4Door 4WD,,,,0,,,,,,,,,,,,,
8,Ford,Bronco,2022,SUV  crossover,Blue Area 51,Black Onyx,,1FMDE5AH3NLA81680,22T6461,48365,Bob Tomes Ford,950 S Central Expy Mc Kinney TX 75070,Big Bend 2Door 4WD,,,,0,,,,,,,,,,,,,
9,Ford,Bronco,2022,SUV  crossover,Carbonized Gray Metallic,Dark Space Gray,0,1FMDE5BHXNLB40187,NLB40187,48795,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,4Door 4WD,,,,0,,,,,,,,,,,,,
10,Ford,Bronco,2022,SUV  crossover,Cactus Gray,Dark Space Gray,0,1FMDE5BH1NLB39851,NLB39851,48795,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,4Door 4WD,,,,0,,,,,,,,,,,,,
11,Ford,Bronco,2022,SUV  crossover,Carbonized Gray Metallic,Dark Space Gray,0,1FMDE5BHXNLB40402,NLB40402,48905,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,4Door 4WD,,,,0,,,,,,,,,,,,,
12,Ford,Bronco,2022,SUV  crossover,Blue Area 51,Dark Space Gray,0,1FMDE5BH5NLB41649,NLB41649,48990,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,4Door 4WD,,,,0,,,,,,,,,,,,,
13,Ford,Bronco,2022,SUV  crossover,Velocity Blue Metallic,Blue Roast,10,1FMDE5BH4NLA82318,22T219,63045,J.O. Williams Motors Inc.,419 E Broadway Ave. Gladewater TX 75647,Outer Banks 4Door 4WD,,,,0,,,,,,,,,,,,,
